eng_input,eng_label,match_using_label,match_using_sentence,heb_input,heb_label
But what exactly is,Large,1,1,אבל מה זה בדיוק,גדול
The check is not,Against,1,1,המחאה כידוע היא לא,נגד
There is profit from it and there is no,Garlic,1,1,יש רווח ממנו ואין,שום
"In fact, the many values I've written",There were,1,1,למעשה רב הערכים שכתבתי,היו
After the fall of a lump of milk,There was,1,1,לאחר נפילת גוש חלב,היה
Extensive value can refer to,Just,1,1,ערך מורחב יכול להתייחס,רק
A tribute appears in a painting at the cinema,In Literature,1,1,מחווה מופיעה בציור בקולנוע,בספרות
I would restore myself to the light,Your response,1,1,הייתי משחזר בעצמי לאור,תגובתך
I deleted the values you opened,Direction,1,1,מחקתי את הערכים שפתחת,כיוון
If there were any mistakes I would,Ready,1,1,אם יש טעויות הייתי,מוכן
The Nuremberg Laws also apply.,About them,1,1,חוקי נירנברג חלו גם,עליהם
For the composition of the atmosphere on the planet,There is,1,1,להרכב האטמוספירה בכוכב הלכת,יש
The choice is to decide what,Important,1,1,הבחירה היא להחליט מה,חשוב
Still lacking in detail.,And yes,1,1,עדיין חסרים מלא פרטים,וכן
If I do that,I will write,0,1,אם אני אעשה זאת,אכתוב
The Corps of Engineers completed,Mission,0,1,חיל ההנדסה השלים את,המשימה
It is a language that is not used.,Day,1,1,מדובר בעברית שאינה בשימוש,יום
The street is entitled to a value such as,All,0,1,הרחוב זכאי לערך כמו,כל
I changed the proposal wording,Middle,0,1,שיניתי את נוסח ההצעה,באמצע
Are you still trying,Find,0,1,האם אתם עדיין מנסים,למצוא
The user had no right,Vote,1,1,למשתמש לא הייתה זכות,הצבעה
The second option is much better.,In my opinion,1,1,האופציה השנייה עדיפה בהרבה,לדעתי
The work would have been done in two,Types,1,1,העבודה הייתה נעשית בשני,סוגים
We have to work according to,The Facts,1,1,אנחנו צריכים לעבוד לפי,העובדות
Some books have written a detail,Tell,0,1,כמה ספרים כתב פרט,לספר
2 There are doubles in my opinion,With,1,1,2 יש כפילות לדעתי,עם
He also expressed sorrow.,About,0,1,כמו כן הביע צער,על
Either way blocking a warning,Efficient,0,1,בכל אופן חסימת אזהרה,יעילה
On the other hand there is no doubt,The Value,0,1,מצד שני אין ספק,שהערך
"By the way, you have some",Country,1,1,אגב יש לך איזו,מדינה
The Rating Process This Chapter,Luka,1,1,תהליך הדירוג פרק זה,לוקה
I also join him in saying,of,1,1,אני מצטרף גם לדבריו,של
Full link between the steps,In the game,1,1,קשר מלא בין השלבים,במשחק
"For example, Israel Defense Forces",And no,1,1,לדוגמה צבא הגנה לישראל,ולא
Some schools are designed,Build,1,1,חלק מבתי הספר מיועדים,לבנות
The value in English is very lacking,And he,1,1,הערך באנגלית מאד חסר,והוא
Churches from the time of Constantine and a little,After him,1,1,כנסיות מתקופת קונסטנטינוס ומעט,אחריו
This is not a formal obligation.,But,1,1,זו לא חובה פורמלית,אבל
I'm really not a predictor.,Option,1,1,אני ממש לא חוזה,אפשרות
The economy rests on,Companies,1,1,עיקר הכלכלה נשען על,חברות
The Boston Massacre is an expression,International,1,1,טבח בוסטון הוא ביטוי,בינלאומי
Wine is also considered a symbol.,Joy,1,1,גם היין נחשב לסמל,שמחה
What about the area of interest?,Architecture,1,1,מה עם תחום העניין,אדריכלות
Letter of Appreciation from a Commander,Corps,1,1,מכתב הערכה מאת מפקד,חיל
And to criticize,Personal,1,1,וכן להעביר ביקורת על,אישי
His military service was,As Commander,1,1,את שירותו הצבאי עשה,כמפקד
Read about the topic No,Missing,1,1,קרא על הנושא לא,חסר
The list was justifiably deleted because,She,1,1,הרשימה נמחקה ובצדק כי,היא
I don't think I would,Find,0,1,אני לא חושב שהייתי,מוצא
Where are our experts for the trial,Constitutional,1,1,איפה המומחים שלנו למשפט,חוקתי
The debate is not whether,What?,1,1,ב הדיון אינו אם,מה
Of course I disagree with,His Behavior,1,1,מובן שאיני מסכים עם,התנהגותו
And what a physical reaction is not,Worthy,0,1,ומה תגובה פיזיקלית אינה,ראויה
"The driver, the father of the family, Mordecai",Torch,1,1,הנהג אבי המשפחה מרדכי,לפיד
You took it off.,Yourself.,0,1,הרי הורדת את זה,בעצמך
Beyond the ethnic group develop,The Jews,1,1,מעבר לקבוצה אתנית פיתחו,היהודים
Unable to verify fact,This is,0,1,לא ניתן לבדוק עובדה,זו
There is a limit to the number of values,That I,1,1,יש גבול לכמות הערכים,שאני
Sports for the City of Birmingham has,Place,0,1,ספורט לעיר ברמינגהאם יש,מקום
In the quarter-final match at the same,Tournament,1,1,במשחק רבע הגמר באותו,טורניר
I deleted the non-messages,Relevance,1,1,מחקתי את ההודעות הלא,רלוונטיות
If you do not know how,Do,0,1,אם אינכם יודעים כיצד,לעשות
It is also better to change.,Her name,1,1,וכדאי גם לשנות את,שמה
He then studied at the University,Oxford,0,1,לאחר מכן למד באוניברסיטת,אוקספורד
Parts may be translated.,From him,1,1,אולי אפשר לתרגם חלקים,ממנו
Please read urgently.,Links,1,1,אנא קרא בדחיפות את,קישורים
Can anyone spill,Light,1,1,האם מישהו יכול לשפוך,אור
The orchestra was won by Pierre.,Monte,0,1,על התזמורת ניצח פייר,מונטה
For older traditional areas,Yet,1,1,לתחומים מסורתיים יותר ישנה,עדיין
The other type are pictures.,Free,0,1,הסוג השני הוא תמונות,חופשיות
You claim that the concept of chance,Don't,0,1,אתה טוען שהמושג סיכוי,לא
Blocking is not a means of punishment,These,1,1,חסימה אינה אמצעי ענישה,אלה
"Besides, the value is important.",And good,1,1,חוץ מזה הערך חשוב,וטוב
"Besides, you don't have to",Go,0,1,מלבד זאת לא חייבים,ללכת
"In a country, there is a regime.",Military,1,1,במדינה מסוימת מתקיים משטר,צבאי
You asked me about a picture.,of,1,1,שאלת אותי לגבי תמונה,של
Holidays I would ask not to return,And delete,0,1,חגי אבקש לא לחזור,ולמחוק
Currently sitting at the top of the midrash,Herb,1,1,כיום יושב בראש המדרשה,הרב
In addition to the football team running,The Group,1,1,בנוסף לקבוצת הכדורגל מפעילה,הקבוצה
So far three have come out.,Versions,1,1,עד כה יצאו שלוש,גרסאות
There were also a number of,Factories,1,1,בעיר היו גם מספר,מפעלים
I'll delete the Y.,Shaped,0,1,אמחק את ה י,בצורת
This project has no connection,Officially,0,1,לפרויקט זה אין קשר,רשמי
The concept of regret really isn't,Suitable,1,1,המושג חרטה ממש לא,מתאים
If the player's character is,Male,1,1,אם דמות השחקן היא,זכר
I suggest we get out of here.,Articles,1,1,אני מציע להעיף מכאן,מאמרים
We make use of them.,When there is no,1,1,אנחנו עושים בהם שימוש,כשאין
These links to other values,Must,0,1,קישורים אלו לערכים אחרים,חייבים
This definition is also included,Just,1,1,גם בהגדרה זו נכללים,רק
Deleting is a first step,Before,1,1,המחיקה מהווה צעד ראשון,לפני
Of course it's not counselling.,Medical,1,1,כמובן אין זה יעוץ,רפואי
The structure of the layers allowed the creation of,Caves,1,1,מבנה השכבות איפשר יצירת,מערות
For Levi Strauss The Choice,There was,0,1,עבור לוי שטראוס הבחירה,הייתה
External links Official website,of,1,1,קישורים חיצוניים האתר הרשמי,של
Kind of like distinguishing,Ronny,1,1,מעין מותג כמו להבדיל,רוני
The text should be set,Well,0,1,הטקסט צריך להיות מוגדר,היטב
I think that's the most,Convenient,1,1,אני חושב שזה הכי,נוח
The very use of the term banishment,Ino,0,1,עצם השימוש במונח גירוש,אינו
This question is not at all,Weird,0,1,שאלה זו כלל איננה,מוזרה
If you have sources,Clear,0,1,אם יש לך מקורות,ברורים
The economic policies they support,In her,1,1,המדיניות הכלכלית שהן תומכות,בה
About the other two ships,Don't,0,1,לגבי שתי הספינות האחרות,לא
Is it for everyone who is,Once,0,1,האם לכל מי שאי,פעם
The third body is the same in the present.,and previously,1,1,הגוף השלישי זהה בהווה,ובעבר
Without this restriction one can,Find,0,1,בלי ההגבלה הזו אפשר,למצוא
Katz played at the Youth Theatre,And yes,1,1,כץ שיחק בתיאטרון הנוער,וכן
Officially even a list,Ordered,0,1,באופן רשמי אפילו רשימה,מסודרת
All the best what a source,The expression,1,1,כל טוב מה מקור,הביטוי
Clarification of importance is certainly of value,Important,1,1,הבהרת חשיבות בהחלט ערך,חשוב
Both of these films have,Review,0,1,שני סרטים אלה קיבלו,ביקורת
The question is whether the problem is,Paradox,1,1,השאלה האם הבעיה היא,פרדוקס
Miron also edited an edition,Scientific,0,1,מירון ערך גם מהדורה,מדעית
"Sorry, but the value",You wrote,0,1,צר לי אך הערך,שכתבת
Philip was assassinated two years later.,Then,0,1,פיליפוס נרצח שנתיים לאחר,מכן
At the counter counselling is better to ask for,Information,1,1,בדלפק יעוץ כדאי לבקש,מידע
Then you have to create,Wing,1,1,לאחר מכן עליכם ליצור,כנף
I thought that I was the half,The second,1,1,חשבתי כי אני החצי,השני
The Jews were forbidden to establish,Factories,1,1,נאסר על היהודים להקים,מפעלים
And again a historical development in the chapter,Communications,1,1,ושוב התפתחות היסטורית בפרק,תקשורת
Recently two main things,Changed,0,1,לאחרונה שני דברים עיקריים,השתנו
It was not stopped because,Reason,1,1,הוא לא הופסק משום,סיבה
The wording should be accurate,And to the point,1,1,ניסוח צריך להיות מדוייק,ולעניין
If you think he,Yeah.,1,1,אם אתה חושב שהוא,כן
In templates for example album and light,Ariel,1,1,בתבניות למשל אלבום ומאיר,אריאל
Marty meets his girlfriend.,Jennifer,1,1,מרטי פוגש את חברתו,גניפר
The name of the team should be,to be,1,1,בעיני שם הקבוצה צריך,להיות
His brother the painter Leopold Gottlieb,Born,1,1,אחיו הצייר לאופולד גוטליב,נולד
One cause another does not,Both,1,1,אחד גורם לאחר לא,שניהם
"Less advertising, but",Don't,0,1,אכן פחות פרסומי אך,לא
In the event results section should,Read,0,1,בפרק תוצאות האירוע צריך,לקרוא
The reason for this is that your,and more,0,1,הסיבה לכך היא שערך,ועוד
Is a missile cruiser a,At all,1,1,האם סיירת טילים היא,בכלל
The remaining flags were opened during the,Today,1,1,שארית הדגלים נפתחו במהלך,היום
Uncomplicated but four,Less,1,1,לא מסובכים אבל ארבעה,פחות
The value on the subject also,Don't,0,1,הערך על הנושא גם,לא
Also Doron Rosenblum Wolf,Schiff,1,1,גם דורון רוזנבלום זאב,שיף
Chenel's proposal to give priority,For writers,1,1,כנל ההצעה לתת עדיפות,לכותבים
"By then, Christianity had been",To the power,0,1,עד אז הנצרות היתה,בחזקת
"Anyway, I'm not.",Think,0,1,בכל אופן אני לא,חושב
This situation is a massacre,And no,1,1,מצב זה הינו טבח,ולא
Ask what the role is.,of,1,1,שאלת תם מהו התפקיד,של
Specify the name of the page,Deleted,0,1,ציין את שם הדף,שנמחק
Perhaps we share in the analysis,Audience,1,1,אולי אנו חולקים בניתוח,קהל
You also want to address,For things,1,1,אתה רוצה גם להתייחס,לדברים
Please make sure all three,There will be,0,1,אנא דאג שכל השלושה,יהיו
This method was customary,Up to,1,1,שיטה זו הייתה נהוגה,עד
Yeah. Murrow shot footage.,From my life,0,1,כן צילם מורו קטעים,מחיי
Perhaps a slender o...,Nathanael,1,1,אולי דרור ק או,נתנאל
But a full rewrite never,Don't,0,1,אבל שכתוב מלא מעולם,לא
Self-harm provides a sense,Animals,0,1,הפגיעה העצמית מספקת תחושת,חיות
So is natural science.,Physics,1,1,כך גם מדעי הטבע,פיזיקה
"As far as the foundation is concerned, it is forbidden to present",Photos,1,1,מבחינת הקרן אסור להציג,תמונות
The main problem I see,She,1,1,הבעיה העיקרית שאני רואה,היא
External links International website,of,1,1,קישורים חיצוניים האתר הבינלאומי,של
It is important to start,With,1,1,בכל אופן חשוב להתחיל,עם
The Jews of Damascus announced,Like this,0,1,יהודי דמשק הודיעו על,כך
Miscellaneous Portrait of a Woman Song,Translated,0,1,שונות דיוקן אישה שיר,מתורגם
I don't think there is,To this,0,1,אני לא חושב שיש,לזה
An effort must be made to determine,Type,1,1,צריך לרכז מאמץ לקביעת,סוג
His younger brother Leonardo was killed.,And his friend,0,1,אחיו הצעיר לאונרדו נהרג,וחברו
If in the same values,There were,1,1,מילא אם באותם ערכים,היו
Israel did not mention any,Place,0,1,ישראל לא ציינה בשום,מקום
He left behind two,Girls,1,1,הוא השאיר אחריו שתי,בנות
"Of course, the value is erased.",And only,1,1,כמובן מוחקים את הערך,ורק
I think it's better to create,One,0,1,נראה לי שכדאי ליצור,אחד
Regarding the welfare clauses I,Don't,0,1,לגבי פסקאות הרווחה אני,לא
Clicking on the link shows,Box,1,1,לחיצה על הקישור מציג,תיבה
A very strange value in terms of,The Writing,1,1,ערך מוזר מאוד מבחינת,הכתיבה
Assuming both roles were,Overlapping,1,1,בהנחה ששני התפקידים היו,חופפים
If there were no objections,Up to,1,1,אם לא היו התנגדויות,עד
Your example is problematic because,She,1,1,הדוגמא שלך בעייתית כי,היא
I participated in two of her workshops,In Summer,1,1,השתתפתי בשתי סדנאות שלה,בקיץ
A review of the style at all,and on,0,1,סקירה על הסגנון בכלל,ועל
A high percentage of,Links,1,1,בערך אחוז גבוה של,קישורים
At that time there was a crisis.,Extensive,1,1,באותו זמן התחולל משבר,נרחב
Why do you suppose I,Don't,0,1,למה אתה מניח שאני,לא
He does not say where,Gray,0,1,הוא אינו אומר איפה,גריי
The term itself was coined on,Hands,0,1,המונח עצמו נטבע על,ידי
Do you have the hand to do,Here,0,1,האם יש בידך לעשות,כאן
"In the early 1970s, he began",Evolve,0,1,בתחילת שנות השבעים החלה,להתפתח
The New Part of the City of St.,Pierre,1,1,החלק החדש בעיר סנט,פייר
Amos Oz wrote about,Like this,0,1,עמוס עוז כתב על,כך
External Links Landmarks,Historical,0,1,קישורים חיצוניים ציוני דרך,היסטוריים
Field hockey is also included,He is,0,1,הוקי שדה נמנה גם,הוא
I started writing the series.,The Books,1,1,התחלתי לכתוב את סדרת,הספרים
External links See Media,and files,1,1,קישורים חיצוניים ראו מדיה,וקבצים
The sound track consisted only,Reports,1,1,פס הקול כלל רק,דיווחים
They already have an early bloom.,At the end,1,1,להם פריחה מוקדמת כבר,בסוף
City economy Kuwait economy,Allows,0,1,כלכלת העיר כלכלת כווית,מאפשרת
This is the result of Golia,Robinson,1,1,זוהי תוצאה של גוליה,רובינסון
Not all content must,to be,1,1,לא כל תוכן חייב,להיות
This is also the reason why,That I,1,1,זו גם הסיבה לכך,שאני
They begin to discover a pattern,Behavior,1,1,הם מתחילים לגלות דפוס,התנהגות
You can put in a footnote,Also,1,1,אפשר לשים בהערת שוליים,גם
This historical role is given,For others,1,1,תפקיד היסטורי זה ניתן,לאחרים
His family owned a factory.,Textiles,1,1,בבעלות משפחתו היה מפעל,טקסטיל
Articles can be downloaded,Locator,0,1,ניתן להוריד את המאמרים,מאתר
Is the value comprehensive or,Value,1,1,האם ערך מקיף או,ערך
Who cares if there is,Value,1,1,למי אכפת אם יש,ערך
External links See Media,and files,1,1,קישורים חיצוניים ראו מדיה,וקבצים
On this activity was stretched,Review,0,1,על פעילות זאת נמתחה,ביקורת
I can find brackets,Nearly,1,1,אני יכול למצוא סוגריים,כמעט
You were at a game of,Boston,0,1,אתה היית במשחק של,בוסטון
The project is heard on its face.,Unique,1,1,הפרויקט נשמע על פניו,ייחודי
It also relates to the matter,The Cannon,1,1,הו גם מתייחס לעניין,התותח
There is no confusion he,Related,0,1,לא חל בלבול הוא,קשור
Regarding the addition of the pattern I,Don't,0,1,לגבי הוספת התבנית אני,לא
"I could go on, but",It's,1,1,יכולתי להמשיך עוד אבל,זה
The division of labor will be done in all,Branch,1,1,חלוקת העבודה תעשה בכל,ענף
There he voted against,The Proposal,1,1,שם הוא הצביע נגד,ההצעה
It is not a formula between,Rebels,1,1,היא לא נוסחה בין,מורדים
Each such cycle is called,Cycle,1,1,כל מחזור כזה נקרא,מחזור
Why with the choice of,Moses,1,1,למה עם בחירתו של,משה
They were also from there.,Donations,1,1,נראה שהיו משם גם,תרומות
The most important value to me,Currently,1,1,הערך החשוב לי ביותר,כרגע
Should it be downloaded as well?,From the list,1,1,האם צריך להוריד גם,מהרשימה
I apologize in advance if,You.,1,1,אני מתנצל מראש אם,אתה
D. Goldstein supporters support,In Murder,1,1,ד תומכי גולדשטיין תומכים,ברצח
There is a whole article about,The brochure,1,1,יש כתבה שלמה על,החוברת
Can you languish,Transition,1,1,האם אתה יכול לנמק,מעבר
It's very simple There isn't,Here,0,1,זה מאוד פשוט אין,כאן
External links Official website,of,1,1,קישורים חיצוניים האתר הרשמי,של
German is one of the languages,The Officials,0,1,גרמנית היא אחת השפות,הרשמיות
They have sex,On time,1,1,הם מקיימים יחסי מין,בזמן
Some things don't need,Give,0,1,יש דברים שלא צריך,לתת
This value deals with the blockade,About,0,1,ערך זה עוסק במצור,על
But mostly because it's,Here,0,1,אך בעיקר כיוון שמדובר,כאן
And how you run a function,of,1,1,ואיך אתה מפעיל פונקציה,של
Due to lack of time then,And also,1,1,מפאת חוסר הזמן אז,וגם
Mao wanted to use the period,This is,0,1,מאו רצה להשתמש בתקופה,זו
In this calendar it,The Solution,1,1,בלוח שנה זה זה,הפתרון
There is a place to mention problems.,Refugees,1,1,יש מקום להזכיר בעיות,פליטים
The value of,Alan.,1,1,קיים כבר הערך של,אלן
Bull's-eye also contributed,Man,0,1,בול קליעה בנוסף תרם,איש
And as a result he was placed,Home,0,1,ועקב כך הוא הושם,בבית
I hope the change is okay.,As far as you are concerned,0,1,אני מקווה שהשינוי בסדר,מבחינתך
The French don't really like,Winners,1,1,הצרפתים לא באמת אוהבים,מנצחים
Gilgamesh I preferred to fix instead,Delete,0,1,גילגמש העדפתי לתקן במקום,למחוק
If you have time,and power,1,1,אם יש לך זמן,וכוח
Game World This Chapter,Luka,1,1,עולם המשחק פרק זה,לוקה
Hans I'm not a guard,About You,1,1,האנס אני לא שומר,עליך
High frequency reading range,of,1,1,תדר גבוה טווח קריאה,של
They couldn't understand,Because,0,1,הם לא יכלו להבין,כי
External links Legal Collection,Murphy,1,1,קישורים חיצוניים אוסף חוקי,מרפי
Holy Days This Chapter,Luka,1,1,ימים קדושים פרק זה,לוקה
Comoros Mauritius and Islands,Seychelles,0,1,איי קומורו מאוריציוס ואיי,סיישל
I posted a value today on,Israel,1,1,העלתי היום ערך על,ישראל
My question is simple how,You were,1,1,שאלתי היא פשוטה כיצד,היית
The Canadian version sometimes includes,Cheese,1,1,הגרסה הקנדית כוללת לעתים,גבינה
Emperor Justinian I tries,Conquer,0,1,הקיסר יוסטיניאנוס הראשון מנסה,לכבוש
You claim that this is a result,of,1,1,אתה טוען שזוהי תוצאה,של
From what I know the institution,Established,1,1,ממה שאני יודע המוסד,הוקם
Do you intend to write,Values,1,1,האם יש בכוונתך לכתוב,ערכים
In any case I recommend,Delete,0,1,בכל מקרה אני ממליץ,למחוק
The same day he arrived.,The Queen,1,1,באותו היום עצמו הגיעה,המלכה
I edit material in a box,The Sand,1,1,אני עורך חומר בארגז,החול
There are times when the page,Works,0,1,יש תקופות בהן הדף,עובד
The value isn't like that either.,Long,1,1,הערך גם לא כזה,ארוך
Now the sand of the season Take,Please. Please.,0,1,עכשיו חול המועד קח,בבקשה
I've extended the paragraph that you've added,About,0,1,הרחבתי את הפסקה שהוספת,על
There are values missing in the wiki,And this,1,1,יש ערכים חסרים בויקי,וזה
If you have not received an answer,After,0,1,אם לא קיבלתם תשובה,לאחר
For the sake of good order this is,Ino,0,1,למען הסדר הטוב זהו,אינו
During the Holocaust the territory was annexed,Hungary,0,1,בעת השואה השטח סופח,להונגריה
The company underwent military training.,Multiple,1,1,הפלוגה עברה אימונים צבאיים,מרובים
I'm not saying that Gilgamesh always,Right.,0,1,איני אומרת שגילגמש תמיד,צודק
One source even if,He is,0,1,מקור אחד גם אם,הוא
Each corpus was added units,Horsemen,1,1,לכל קורפוס נוספו יחידות,פרשים
The worship of the temple was,Related,0,1,הפולחן של המקדש היה,קשור
The script on the external site is not,Works,0,1,הסקריפט שבאתר החיצוני לא,עובד
Apart from Austria it passes,Also,1,1,מלבד אוסטריה הוא עובר,גם
The balance issue is,Less,1,1,על עניין האיזון יש,פחות
I would like to know who,Secondary,1,1,הייתי מעוניין לדעת במי,משני
"In some cases, none have been suggested.",For Sale,1,1,בכמה מקרים אף הוצעו,למכירה
There may be an error in Tom,Heart,1,1,יתכן שיש שגיאה בתום,לב
Thus Easter is celebrated,Always,1,1,לפיכך חג הפסחא נחוג,תמיד
External links A hundred lines,of,1,1,קישורים חיצוניים מאה שורות,של
Regarding the opponents see Office,Health,0,1,לגבי המתנגדים ראה משרד,הבריאות
The Indian Ocean Fleet was,Ass,1,1,השייטת באוקיינוס ההודי הייתה,תחת
Collaboration is not supposed to,to be,1,1,שיתוף פעולה לא אמור,להיות
Oded Leopold was born as a child,The second,1,1,עודד לאופולד נולד כילד,השני
It seems that there is,Donation,1,1,פה לכאורה נראה שיש,תרומה
If you have what,to say,0,1,אם יש לכם מה,לומר
The Purple Sea Road,The King,1,1,דרך הים סגול דרך,המלך
Cannot delete value,Large,1,1,אי אפשר למחוק ערך,גדול
I don't know if,They,1,1,אני לא יודע אם,הם
These did not use force,Physically,0,1,אלה לא השתמשו בכוח,פיזי
So I tried to raise,The file,1,1,אז ניסיתי להעלות את,הקובץ
Every game between,Both,1,1,בעיני כל משחק בין,שניהם
Anyway that's a question,To the counter,0,1,בכל אופן ז שאלה,לדלפק
Doesn't mean he's more,Or,1,1,לא אומר שהוא יותר,או
Noi is given on the way,Rule,1,1,נוי הוא שניתן בדרך,כלל
His military service was,Begley,1,1,את שירותו הצבאי עשה,בגלי
You can add a bit about,Subject,1,1,אפשר להוסיף קצת על,נושא
I'll delete the versions,His,1,1,אני אמחק את הגרסאות,שלו
No regulations are required when,There is,1,1,לא צריך תקנות כאשר,יש
The Kibbutz Ramat Yochanan is called,About,0,1,הקיבוץ רמת יוחנן נקרא,על
At the end of the season it is,Yeah.,1,1,בסוף העונה היא דווקא,כן
There are details in which it has evolved.,Polemus,1,1,ישנם פרטים שבהם התפתח,פולמוס
In practice these schools,There were,1,1,בפועל בתי הספר האלו,היו
Biography Luria was born and raised,Kibbutz,0,1,ביוגרפיה לוריא נולד וגדל,בקיבוץ
Every year in July,Edited,0,1,מדי שנה בחודש יולי,נערך
Delete any trace of reviews,The Israeli,0,1,למחוק כל זכר לביקורות,הישראליות
Because Louis XI,King,1,1,כי לואי האחד עשר,מלך
It encourages users to place,Templates,0,1,זה מעודד משתמשים להציב,תבניות
The talk page was also deleted,He is,0,1,דף השיחה נמחק גם,הוא
Anyway I always,Happy,1,1,בכל מקרה אני תמיד,שמח
If this is a joke then,This one.,0,1,אם זאת בדיחה אז,זאת
I searched the wikishare but didn't,Found,0,1,חיפשתי בויקישיתוף אבל לא,מצאתי
The place served as a base of,The Legion,1,1,המקום שימש בסיס של,הלגיון
What is required to receive,The Proposal,1,1,מה נדרש לשם קבלת,ההצעה
I also intend to delete,Him,0,1,אני גם מתכוונת למחוק,אותו
The character you used in the case,It's,1,1,התו בו השתמשת במקרה,זה
The specific picture is not,Free,0,1,התמונה הספציפית היא לא,חופשית
Is it used by people,Profession,1,1,האם הוא משמש אנשי,מקצוע
Hey we don't deliver,Information,1,1,היי אנחנו לא מספקים,מידע
To the west of the garden lies a house,The Hospitals,0,1,ממערב לגן שוכן בית,החולים
It is a vast collection of,Countless,0,1,זה אוסף עצום של,אינספור
The story includes many repetitions,About,0,1,הסיפור כולל חזרות רבות,על
The conditions of the response are of utmost importance,In Chemistry,1,1,לתנאי התגובה חשיבות עליונה,בכימיה
You could say it's the representation.,of,1,1,אפשר להגיד שזה הייצוג,של
Will there be a split as well?,In years,1,1,האם יהיה פיצול גם,בשנים
Would you like to delete,Template,0,1,אתה מעוניין למחוק את,התבנית
"As a result, Frank returns.",Cheers.,1,1,כתוצאה מכך חוזר פרנק,לחיים
However you are invited,Offer,0,1,עם זאת אתה מוזמן,להציע
External links Resume,In Russian,1,1,קישורים חיצוניים קורות חיים,ברוסית
Sometimes easier to delete,And write,1,1,לעתים קל יותר למחוק,ולכתוב
Doesn't look sharp to me.,Inconclusive,0,1,לי לא נראה חד,משמעי
Life in Mikveh Israel,There were,1,1,החיים ב מקווה ישראל,היו
If you think the two,Values,0,1,אם אתה חושב ששני,הערכים
This means that the formula can include,Just,1,1,כלומר הנוסחה יכולה לכלול,רק
Can I have some more?,Details,1,1,אפשר לקבל עוד קצת,פרטים
I was sure you were already,Don't,0,1,הייתי בטוח שאתה כבר,לא
She began to study in my daughter,Book,1,1,היא החלה ללמוד בבתי,ספר
Professor Gideon Mer considered,Expert,1,1,פרופסור גדעון מר נחשב,מומחה
It's a bit embarrassing to rely on.,Sources,1,1,קצת מביך להסתמך על,מקורות
The links are harmless and there are no,Reason,1,1,הקישורים אינם מזיקים ואין,סיבה
I'm not sure if,It's,1,1,אני לא בטוח אם,זה
And what is now called,Electricity,1,1,ומה שהיום קוראים לו,חשמל
Preferably the Hebrew concepts on,Concepts,0,1,העדיפו מושגים עבריים על,מושגים
The point of origin of the operation,She,1,1,נקודת המוצא של הניתוח,היא
There are other foreign countries.,From France,1,1,יש עוד מדינות חוץ,מצרפת
No written manuals were found,For Agriculture,1,1,נמצאו אף מדריכים כתובים,לחקלאות
The kibbutz is named after,Joseph,1,1,הקיבוץ נקרא על שם,יוסף
If there is classified information,There is,1,1,אם יש מידע מסווג,יש
The question is also how much,Success,1,1,השאלה היא גם כמה,הצלחה
Sometimes it seems that there were,Versions,1,1,לעתים נראה כי היו,גרסאות
"It is clear to me, but",The wording,1,1,הכוונה ברורה לי אך,הניסוח
I also think it's,Values,1,1,אני גם חושב שאלו,ערכים
In the archive of Egged I found a treasure,Treasure,1,1,בארכיון אגד מצאתי אוצר,אוצר
See what the Committee writes.,The Election,1,1,ראה מה כותבת ועדת,הבחירות
Deleted and two months later we'll write,Re-,0,1,נמחק ועוד חודשיים נכתוב,מחדש
Do you think he has,Importance,1,1,האם לדעתך יש לו,חשיבות
Page meanings can be put,Also,1,1,דף פירושונים אפשר לשים,גם
You can come in with,Massengar,0,1,אתה יכול להכנס עם,מסנגר
What it needs is,Find,0,1,מה שכן צריך זה,למצוא
If you mean a person named,It's,1,1,אם התכוונתם לאישים בשם,זה
When I wrote a lot of things,Less,1,1,כשאני כתבתי דברים הרבה,פחות
I don't think there is,Name,1,1,אני לא חושב שיש,שם
He himself is not a driver.,Always,1,1,הוא עצמו לא נהג,תמיד
Because it looks like it can be filled.,Value,1,1,כי נראה שניתן למלא,ערך
A parallel vote for arbitration is,Waste,1,1,הצבעה מקבילה לבוררות היא,בזבוז
The processing was done by,Eldad,1,1,העיבוד נעשה על ידי,אלדד
This value shows which,Absurd,1,1,הערך הזה מראה לאיזה,אבסורד
He invented it for reasons,Political,0,1,הוא המציא זאת מסיבות,פוליטיות
"If you want to see the river, see",Gambia,0,1,אם התכוונתם לנהר ראו,גמביה
The color of the mineral becomes dark.,More,0,1,גוון המינרל נעשה כהה,יותר
In reality there was no Gottfried,Close,0,1,במציאות לא היה גוטפריד,קרוב
It's an outward expression of why,Which is,1,1,זה ביטוי חיצוני למה,שהוא
The judgment represents an approach,This is,0,1,פסק דין מייצג גישה,זו
The world's prison population,In the World,1,1,אוכלוסיית בתי הסוהר בעולם,בעולם
"At this time, they began to form.",Categories,1,1,בתקופה זו החלו להיווצר,קטגוריות
I've looked at some countries that have,To them,0,1,הצצתי קצת במדינות שיש,להן
Regarding external sources and criticism,External,0,1,לגבי מקורות חיצוניים וביקורת,חיצונית
If there is no,Objection,1,1,אם לא תהיה איזו,התנגדות
See also domain name,Administrator,1,1,ראו גם שם תחום,מנהל
The war in South Ossetia between,Russia,1,1,המלחמה בדרום אוסטיה בין,רוסיה
And the less work,More,0,1,וגם כמה שפחות עבודה,יותר
The page Elders of Safed Turning,Here,0,1,הדף זקני צפת מפנה,לכאן
